Wall time,Step,Value,Round,Epoch
1753120573.4467332,1,47.86000061035156,1,1
1753120655.2645733,2,54.040000915527344,1,2
1753120737.0146246,3,55.77000045776367,1,3
1753120819.1077874,4,58.560001373291016,1,4
1753120901.045644,5,58.11000061035156,1,5
1753120996.3503065,6,60.470001220703125,2,1
1753121078.6860526,7,62.2400016784668,2,2
1753121161.11699,8,63.20000076293945,2,3
1753121243.4678125,9,62.84000015258789,2,4
1753121325.3708835,10,62.4900016784668,2,5
1753121430.5944128,11,63.34000015258789,3,1
1753121512.525981,12,62.400001525878906,3,2
1753121595.3791482,13,63.5,3,3
1753121677.0021145,14,62.25,3,4
1753121759.5397701,15,62.95000076293945,3,5
1753121862.6822388,16,62.33000183105469,4,1
1753121944.9557748,17,61.810001373291016,4,2
1753122027.1243677,18,60.70000076293945,4,3
1753122109.3900201,19,62.209999084472656,4,4
1753122191.8769724,20,60.11000061035156,4,5
1753122295.2244148,21,60.61000061035156,5,1
1753122376.9559398,22,59.5099983215332,5,2
1753122458.9102952,23,61.4900016784668,5,3
1753122540.4267864,24,60.79999923706055,5,4
1753122622.3743677,25,61.0099983215332,5,5
