Wall time,Step,Value
1753120496.3404465,100,2.299774408340454
1753120500.969058,200,2.1960408687591553
1753120505.5614386,300,2.042550563812256
1753120510.1672037,400,1.9375852346420288
1753120514.7880971,500,1.8326399326324463
1753120519.413313,600,1.724899411201477
1753120524.0322661,700,1.6638374328613281
1753120528.631119,800,1.6240686178207397
1753120533.266228,900,1.5663245916366577
1753120537.859451,1000,1.616115927696228
1753120542.4278696,1100,1.5302945375442505
1753120547.001282,1200,1.5131863355636597
1753120551.6202443,1300,1.5193787813186646
1753120556.277567,1400,1.5134769678115845
1753120560.8941097,1500,1.429765224456787
1753120563.7520194,1563,1.4366024732589722
1753120578.0697296,1663,1.397628903388977
1753120582.615998,1763,1.3995773792266846
1753120587.17922,1863,1.4052131175994873
1753120591.7579954,1963,1.413755178451538
1753120596.3697195,2063,1.358628749847412
1753120600.9668148,2163,1.3839492797851562
1753120605.535478,2263,1.3537689447402954
1753120610.0772133,2363,1.3716412782669067
1753120614.6158624,2463,1.3094944953918457
1753120619.203093,2563,1.3255785703659058
1753120623.779445,2663,1.3084912300109863
1753120628.4008496,2763,1.266903042793274
1753120632.9390564,2863,1.3035660982131958
1753120637.5187325,2963,1.2930352687835693
1753120642.1815953,3063,1.2858182191848755
1753120645.0596485,3126,1.2088900804519653
1753120660.1950734,3226,1.2444604635238647
1753120664.8144143,3326,1.1820025444030762
1753120669.4156096,3426,1.26005220413208
1753120674.0007474,3526,1.1911412477493286
1753120678.544755,3626,1.2130523920059204
1753120683.0615995,3726,1.2278001308441162
1753120687.7108912,3826,1.2254414558410645
1753120692.2659209,3926,1.1967575550079346
1753120696.834611,4026,1.2074109315872192
1753120701.4223015,4126,1.2250618934631348
1753120706.009385,4226,1.1945686340332031
1753120710.6418672,4326,1.1958190202713013
1753120715.2082353,4426,1.1738812923431396
1753120719.7702277,4526,1.1869935989379883
1753120724.351543,4626,1.1662522554397583
1753120727.2193418,4689,1.2321017980575562
1753120741.6523683,4789,1.144798994064331
1753120746.2647793,4889,1.1276603937149048
1753120750.8721983,4989,1.1234971284866333
1753120755.4461608,5089,1.1087948083877563
1753120760.0575888,5189,1.1202127933502197
1753120764.6488817,5289,1.1262359619140625
1753120769.2534363,5389,1.1265552043914795
1753120773.8499217,5489,1.1277517080307007
1753120778.448385,5589,1.1387745141983032
1753120783.025665,5689,1.1242836713790894
1753120787.6337972,5789,1.0959690809249878
1753120792.2575643,5889,1.1164631843566895
1753120796.9048674,5989,1.1285724639892578
1753120801.5163827,6089,1.062733769416809
1753120806.1508114,6189,1.0953457355499268
1753120809.049319,6252,1.1273295879364014
1753120823.76976,6352,1.061173439025879
1753120828.3758383,6452,0.9836639165878296
1753120832.9346676,6552,1.0413745641708374
1753120837.5802739,6652,1.0492888689041138
1753120842.2683668,6752,1.047494888305664
1753120846.9193885,6852,1.077675461769104
1753120851.5040474,6952,1.063939094543457
1753120856.0647495,7052,1.043169617652893
1753120860.639936,7152,1.0580062866210938
1753120865.2460072,7252,1.0696436166763306
1753120869.913441,7352,1.0558626651763916
1753120874.5343637,7452,1.0690715312957764
1753120879.1332622,7552,1.0800589323043823
1753120883.7003818,7652,1.062283992767334
1753120888.32591,7752,1.070438265800476
1753120891.2226923,7815,1.106534481048584
1753120919.1569564,7915,1.1198619604110718
1753120923.773029,8015,1.0987634658813477
1753120928.4086156,8115,1.0978001356124878
1753120933.0402145,8215,1.074039101600647
1753120937.6666427,8315,1.115988850593567
1753120942.2471786,8415,1.0821486711502075
1753120946.8546553,8515,1.085289716720581
1753120951.4698508,8615,1.0795936584472656
1753120956.0630064,8715,1.0651319026947021
1753120960.636821,8815,1.1078194379806519
1753120965.292589,8915,1.075438380241394
1753120969.9417145,9015,1.1122454404830933
1753120974.6059103,9115,1.0887413024902344
1753120979.2142193,9215,1.0821748971939087
1753120983.776854,9315,1.0741902589797974
1753120986.6783674,9378,1.1003772020339966
1753121001.0826707,9478,0.9701884984970093
1753121005.6966672,9578,0.9742557406425476
1753121010.294988,9678,0.9991856217384338
1753121014.925135,9778,0.9948183298110962
1753121019.5530055,9878,0.9914399981498718
1753121024.1667373,9978,1.0074313879013062
1753121028.8136473,10078,1.0266906023025513
1753121033.4555476,10178,1.0129587650299072
1753121038.129852,10278,1.0169297456741333
1753121042.7095268,10378,0.9824584722518921
1753121047.3538804,10478,0.9832963347434998
1753121051.985647,10578,1.0491911172866821
1753121056.5520282,10678,1.0117295980453491
1753121061.1610875,10778,1.0646264553070068
1753121065.7502894,10878,0.9945106506347656
1753121068.6278555,10941,0.9807111024856567
1753121083.3289242,11041,0.8883698582649231
1753121087.9464126,11141,0.8860385417938232
1753121092.5342033,11241,0.9675561785697937
1753121097.1610386,11341,0.9539535045623779
1753121101.7864869,11441,0.9900856018066406
1753121106.4650495,11541,0.9600293636322021
1753121111.0914404,11641,0.9593741297721863
1753121115.7477114,11741,0.986167311668396
1753121120.3969257,11841,0.9436935782432556
1753121125.0040336,11941,0.9403459429740906
1753121129.6817093,12041,0.9811123609542847
1753121134.2753193,12141,0.9555209875106812
1753121138.8771472,12241,0.9800923466682434
1753121143.503256,12341,0.9660139679908752
1753121148.126141,12441,0.9909980297088623
1753121151.0405521,12504,0.9635792374610901
1753121166.091038,12604,0.8816946744918823
1753121170.7458591,12704,0.8964847922325134
1753121175.376835,12804,0.8895016312599182
1753121180.1034698,12904,0.8757882118225098
1753121184.7077594,13004,0.9172131419181824
1753121189.3848565,13104,0.940571665763855
1753121194.0950365,13204,0.933854877948761
1753121198.681835,13304,0.919829785823822
1753121203.3406694,13404,0.9488255381584167
1753121207.9439328,13504,0.9483295679092407
1753121212.579166,13604,0.9446890950202942
1753121217.1911414,13704,0.9060254096984863
1753121221.816333,13804,0.9189226627349854
1753121226.4355588,13904,0.9214727282524109
1753121231.0697181,14004,0.9391865134239197
1753121233.950704,14067,0.9624683856964111
1753121248.0857348,14167,0.8389948606491089
1753121252.7413583,14267,0.8909010887145996
1753121257.3268774,14367,0.8697432279586792
1753121261.9158072,14467,0.8696717023849487
1753121266.517748,14567,0.908826470375061
1753121271.1329234,14667,0.8542267680168152
1753121275.7401052,14767,0.8831716179847717
1753121280.3722832,14867,0.8932685852050781
1753121284.9701853,14967,0.8885645866394043
1753121289.5816247,15067,0.9108532071113586
1753121294.2046297,15167,0.8727707266807556
1753121298.8424509,15267,0.900883138179779
1753121303.5054274,15367,0.9367741346359253
1753121308.1266859,15467,0.911422610282898
1753121312.8053234,15567,0.9078932404518127
1753121315.71429,15630,0.9638209939002991
1753121353.7820048,15730,0.6902713179588318
1753121358.3437793,15830,0.7828238010406494
1753121362.8889577,15930,0.8090673089027405
1753121367.5079527,16030,0.8059083223342896
1753121372.0992272,16130,0.8606398701667786
1753121376.711193,16230,0.8490138053894043
1753121381.3359559,16330,0.8671669960021973
1753121385.9666967,16430,0.8778623938560486
1753121390.5967305,16530,0.8369574546813965
1753121395.2247677,16630,0.8880720734596252
1753121399.8004208,16730,0.8863387107849121
1753121404.3832922,16830,0.8681737780570984
1753121408.9539852,16930,0.8856740593910217
1753121413.5410347,17030,0.8648034334182739
1753121418.1135352,17130,0.8976448178291321
1753121421.0378706,17193,0.912132740020752
1753121435.232685,17293,0.8062566518783569
1753121439.8362913,17393,0.7576942443847656
1753121444.4641051,17493,0.7953537106513977
1753121449.027777,17593,0.8049994111061096
1753121453.670579,17693,0.8250896334648132
1753121458.321298,17793,0.8419610261917114
1753121462.9904368,17893,0.8265231847763062
1753121467.606946,17993,0.8219400644302368
1753121472.1865833,18093,0.8572852611541748
1753121476.7904077,18193,0.837680459022522
1753121481.4277103,18293,0.8428810834884644
1753121486.030596,18393,0.8678417205810547
1753121490.6518283,18493,0.8620632290840149
1753121495.261925,18593,0.8770376443862915
1753121499.8810892,18693,0.8553560376167297
1753121502.775506,18756,0.8960769176483154
1753121517.67887,18856,0.786860466003418
1753121522.3056605,18956,0.7684140205383301
1753121526.9788473,19056,0.7648128271102905
1753121531.5868065,19156,0.7504919767379761
1753121536.2018418,19256,0.7996687889099121
1753121540.822105,19356,0.8084253072738647
1753121545.4413536,19456,0.7824587225914001
1753121550.0493844,19556,0.8460721373558044
1753121554.6379035,19656,0.840804934501648
1753121559.2245042,19756,0.8484559655189514
1753121563.85092,19856,0.8392391204833984
1753121568.3795419,19956,0.8114767670631409
1753121573.0251913,20056,0.8514391779899597
1753121577.645916,20156,0.8499625325202942
1753121582.2698855,20256,0.8384196162223816
1753121585.1753209,20319,0.8226031064987183
1753121600.03442,20419,0.7363294363021851
1753121604.6761856,20519,0.7350445985794067
1753121609.2674153,20619,0.7680529356002808
1753121613.8498676,20719,0.751619279384613
1753121618.4849424,20819,0.7670949101448059
1753121623.073193,20919,0.772235095500946
1753121627.6678512,21019,0.7710781097412109
1753121632.2144642,21119,0.8065760135650635
1753121636.8001828,21219,0.7611780166625977
1753121641.352783,21319,0.8134934902191162
1753121645.911743,21419,0.8021200299263
1753121650.5364625,21519,0.8139445781707764
1753121655.159445,21619,0.8281465172767639
1753121659.7343593,21719,0.8095535635948181
1753121664.3420877,21819,0.8401236534118652
1753121667.2619588,21882,0.8501522541046143
1753121681.6401467,21982,0.7029326558113098
1753121686.2712128,22082,0.7251099348068237
1753121690.878357,22182,0.7110393047332764
1753121695.5232043,22282,0.7691200375556946
1753121700.1672182,22382,0.7410472631454468
1753121704.794107,22482,0.7607182860374451
