Wall time,Step,Value
1753120553.0774128,1,48.560001373291016
1753120636.0981154,2,56.11000061035156
1753120718.941807,3,58.81999969482422
1753120801.2487383,4,59.9900016784668
1753120884.3614151,5,59.31999969482422
1753120998.9116192,6,60.470001220703125
1753121081.661175,7,62.04999923706055
1753121164.9743183,8,61.33000183105469
1753121247.7547932,9,63.619998931884766
1753121330.2030473,10,62.119998931884766
1753121432.2766688,11,62.45000076293945
1753121515.0917757,12,62.45000076293945
1753121598.2869122,13,62.56999969482422
1753121681.0959232,14,63.08000183105469
1753121763.8831446,15,60.099998474121094
1753121866.0730362,16,61.61000061035156
1753121948.9829435,17,62.58000183105469
1753122031.4689658,18,62.2400016784668
1753122114.569731,19,62.279998779296875
1753122197.7179966,20,61.40999984741211
1753122297.8491232,21,61.25
1753122380.5982964,22,61.560001373291016
1753122462.7116234,23,61.91999816894531
1753122545.32608,24,59.11000061035156
1753122627.748959,25,60.529998779296875
